source,destination
/docs/mobile-services/ios/analytics-ios/actions.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/actions.md
/docs/mobile-services/ios/analytics-ios/crashes.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/crashes.md
/docs/mobile-services/ios/analytics-ios/timed-actions.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/timed-actions.md
/docs/mobile-services/ios/analytics-ios/lifetime-value.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/lifetime-value.md
/docs/mobile-services/ios/analytics-ios/products-variable/products.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/products/products.md
/docs/mobile-services/ios/analytics-ios/products-variable/products-variable-evars-events.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/products/products-variable-evars-events.md
/docs/mobile-services/ios/analytics-ios/event-serialization.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/event-serialization.md
/docs/mobile-services/ios/analytics-ios/video-qs.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/video-qs.md
/docs/mobile-services/ios/analytics-ios/postbacks/postback.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/postback/postback.md
/docs/mobile-services/ios/analytics-ios/postbacks/postback-example.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/postback/postback-example.md
/docs/mobile-services/ios/analytics-ios/postbacks/c-pii-postbacks.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/postback/c-pii-postbacks.md
/docs/mobile-services/ios/analytics-ios/analytics-methods.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/analytics-methods.md
/docs/mobile-services/ios/acquisition-ios/acquisition-main.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/acquisition-main/acquisition-main.md
/docs/mobile-services/ios/acquisition-ios/acquisition.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/acquisition-main/acquisition.md
/docs/mobile-services/ios/acquisition-ios/c-acquisition-methods.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/acquisition-main/c-acquisition-methods.md
/docs/mobile-services/ios/acquisition-ios/tracking-deep-links/tracking-deep-links.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/acquisition-main/tracking-deep-links/tracking-deep-links.md
/docs/mobile-services/ios/acquisition-ios/tracking-deep-links/c-tracking-3rd-party-deep-deferred-links.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/acquisition-main/tracking-deep-links/c-tracking-3rd-party-deep-deferred-links.md
/docs/mobile-services/ios/acquisition-ios/t-testing-marketing-link-acquisition.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/acquisition-main/t-testing-marketing-link-acquisition.md
/docs/mobile-services/ios/acquisition-ios/t-testing-version-3-acquisition.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/acquisition-main/t-testing-version-3-acquisition.md
/docs/mobile-services/ios/acquisition-ios/t-testing-acquisition.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/acquisition-main/t-testing-acquisition.md
/docs/mobile-services/ios/acquisition-ios/c-apple-search-ads.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/acquisition-main/c-apple-search-ads.md
/docs/mobile-services/ios/messaging-ios/messaging-main.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/messaging-main/messaging-main.md
/docs/mobile-services/ios/messaging-ios/in-app-messaging/messaging.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/messaging-main/messaging/messaging.md
/docs/mobile-services/ios/messaging-ios/in-app-messaging/in-apps-ts.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/messaging-main/messaging/in-apps-ts.md
/docs/mobile-services/ios/messaging-ios/push-messaging/push-messaging.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/messaging-main/push-messaging/push-messaging.md
/docs/mobile-services/ios/messaging-ios/push-messaging/t-mob-imp-push-deeplinking-ios-4x.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/messaging-main/push-messaging/t-mob-imp-push-deeplinking-ios-4x.md
